Topic,Count,Name,Representation,Representative_Docs
-1,10939,-1_and_to_the_amazon,"['and', 'to', 'the', 'amazon', 'they', 'for', 'it', 'is', 'have', 'of']","['i\'m writing what i have tried to write twice, as a review for a product experience on amazon. my review has been denied with an email from amazon telling me that my review could not focus on seller, delivery, packaging, pricing, or availability. wait, what? isn\'t it one of these items that we are typically reviewing when we provide a review?i ordered 2 $100 visa cards, requested next day delivery. included in the same order were three other items. i was excited when i received a delivery notice for the next day am. at my doorstep was a typical sealed box and a sealed envelope. the three items were in the box. the sealed enveloped, when opened, contained nothing. most importantly, it did not contain the two cards. i immediately called amazon customer service (now clearly offshored - if you\'ve experienced amazon customer service you will understand) and was told that because it was within 24 hours of the order, i would have to call back the next day. i requested an email, which i received. i called back the next day after spending over 2 hours on the phone, i was finally escalated to a manager. i was told that cards had already been used, that my situation would be escalated to ""card services"" and i would get a call back within 24-48 hours. i requested an email, which i received. otherwise, crickets, i never received a call from amazon ""card services.""i then called the distributor of the card (sunrise banks), who advised me that no only had the cards been registered to someone not in my name, also that they had been used for an online purchase. they took down my information, sent me an email, asked for proof of purchase of the cards, which i sent to them. and, in that same email advised me that i would hear back from them within 24 hours. again, crickets. i decided my only course of action was to file a dispute with the credit card company i used for this purchase. they have reached out to amazon, and in reply i received a completely nonsensical, i kid you not, email from amazon telling me that i should have called their customer service. the email went on to ask me for a credit card number against which they can charge the costs of my original purchase. it made zero sense.where in the world did customer service go for amazon? horrible, horrible, horrible customer service. i\'ve been an amazon prime member for over a decade, longer. this is the first situation i\'ve run into like this with amazon. i remain out $211.90 for these cards with no resolution in sight. i do not recommend using amazon for any gift card purchases of any kind. now the bigger decision, do i leave amazon as a prime member after over a decade of membership?', 'i have a surgery scheduled for august 16th and need to follow a clear liquid diet the day before. i have been trying to order clear protein drinks for two weeks now, and amazon has so far failed to deliver all of them. the first product was 5 days shipping and the day before delivery the shipper broke some of the bottles--not amazon\'s fault, obviously. the problem was how amazon handled it. when i called, they told me they communicated to the company to initiate the replacement now, so it could be delivered by the following saturday. by the next day i still did not see a status change on the amazon app for the product, so i called again--i was told by the person that she ""guaranteed"" i would receive the replacement by saturday. saturday arrived and still no change in shipping status to indicate the item was shipped--in fact, the only update was to state i was receiving a refund--so i called amazon again. the first agent lied to me and tried to tell me he could ""help"" by initiating a refund (the refund had already been initiated the day before). i had the call escalated and i was told the item was never replaced and that none of the agents should have told me what they did. it was also too late to order that item as new orders would arrive after the surgery date. i looked for a different clear protein drink (that isn\'t red or purple). by now the surgery was only a few days away. the item i found indicated it could be delivered same day, between 5 and 10 p.m. eureka, i thought. i ordered it. of course it didn\'t arrive. that night the app updated to say that it would be delivered by 8 a.m. the next day. it wasn\'t. i called amazon again. this time they have no idea why the item wasn\'t delivered and they still had no idea if or when the item might be delivered today. i had the call escalated. she didn\'t know either. she also couldn\'t reach the area that handles shipping to find out when the item would be shipped. she ended up refunding the first item (while not canceling it) and recommending a new order be put in to try to get the item delivered by this afternoon--halfway through the clear liquids day. i did as she suggested and put the second order it, but i really have very little confidence amazon can make it happen anymore. unfortunately, these are not the only examples of failed and late deliveries with this company. it\'s become commonplace. while i was on the phone with the escalation team, i submitted my order for the first items i am moving to walmart and away from amazon. i will find replacements for the rest of my items and then cancel prime before the end of the month. for those who may be holding off on canceling prime because you like the streaming, be aware that after you cancel you can pay for a streaming-only option for $9 a month--less than the $15 a month or so we pay for prime shipping. if i find the streaming worth keeping (tbd), that is what i will switch to. the rest of the company isn\'t worth my hard-earned money anymore. moving on.', 'awful. really gone downhill. this happens a lot lately. if i have 1 problem, suddenly i have 10. customer service is embarrassing when before i would\'ve said they had the best of any company. in 7 days amazon has screwed up 5 out of 6 packages; resulting in 4 calls totaling over 2 hrs. (so far...) that still has not completely resolved issues (still don\'t have items or my refunds...). the really weird part is that each problem was different; but the worst part is that customer service (for the most part) has been horrendous causing situations to escalate! i worked in customer service for years & it\'s really quite simple... admit you\'re wrong, apologize and resolve issue (and when company royally screws up, like in my situation, you proactively offer compensation to show you value your customer). period. what you do not do is talk over customer, cut them off, continually place them on hold, transfer them & ask them to repeat their story again & again only to have it repeated back incorrectly again & again; if something does finally get resolved do not use the words ""as a 1 time courtesy"" --ahhhh....that is soooo rude to say that basically you are doing me a favor by fixing your mistake! wording matters people. also do not argue w/ the customer over this! i mean my god. are you serious?? also enough w/ the fake ""ahhhs"" like you\'re soothing a baby. train your indians in american ways please. these methods are rude in our culture. this is not empathy. it is considered patronizing, rude, inconsiderate or just plain not paying attention. issues total in 7 days: 1. wrong model of phone case sent resulting in return. 2. received empty package (clearly open where the flap wasn\'t put down correctly at top and my items slid out somewhere during transportation/delivery; you could see in the pic that amazon took of the delivered item in front of my door that the package was wide open, lol! called & 1 rep offered refund and free replacement immediately (very nice & good at his job); however next rep talked over me, cut me off constantly, repeated herself & used my credit resulting in a callback 2 days later to another rude rep that argued, talked over me, cut me off, blah blah blah for 45 min. to then finally ""do me the courtesy"" of returning the credit... 3. different phone case ordered, arrived in my city at 7:30 am, yet by 8 pm (guaranteed delivery by 9pm); called amazon & they said they had no driver so they offered a $5 credit & promised it would be delivered next day (ok, no problem) yet when didn\'t arrive next day i checked & it looked like package was delivered through app yet when i clicked on ""tracking"" it said item shipped to another state at 3:50am (??) and then back to my city/state at 3 pm where it was then supposedly ""damaged"" and shipped back to seller... (do what???). however when i called amazon they said item showed ""on hold at shipper"" and they didn\'t know why, so they marked it as refused by buyer!!! (so now that\'s on my acct. along w/ fact that i don\'t have my product or refund...) 4. the same day that my phone case was supposedly ""damaged"" i was supposed to receive a bath product but it was also supposedly ""damaged"" & shipped back to seller... (when i tried to ask amazon about the refund re: this product they were ""having computer issues"" after i\'d already given tracking numbers multi times, been on hold, xferred around, explained story over & over... so they couldn\'t tell if refund was issued... 5. an item i ordered five days ago (also on same day i ordered 2 other items separately w/ no problems, btw) & scheduled for delivery tomorrow, suddenly shows that i need to ""update my payment method"". do what??? i have the email confirmation from five days ago and after 100\'s of orders i have never had amazon wait five days to charge for something... they just don\'t do that... also there is a gc balance on my acct. that is technically my 1st payment/default payment option anyway, but for some reason refuses to allow me to use it for this $6. they had no explanation for this and just kept saying to ""check w/ my bank"", lol!! that is not the question. what is going on amazon????']"
0,1360,0_driver_door_drivers_parcel,"['driver', 'door', 'drivers', 'parcel', 'delivery', 'delivered', 'the', 'package', 'left', 'he']","['why do the amazon drivers lie ? we had a parcel left on our doorstep where anyone could have taken it but the driver states he handed it to the resident which is a total lie . he could have left it in a safe place but no right on the door step and no concerned that it could be stolen . worst drivers ever', ""amazon delivery driver came to my house today at 2:50 he was posted deliver a new pc and and did not come out of his van but spoke on his telephone in the driver's seat he never even attempted to get out once was outside my house for a good 5 minutes and i went to see if he was ok and he says i forgot to load your product on the van and then he just drove off without even saying anything more but about 2 minutes later he came knocking at my door again till deliver 2 leads for the computer but no computer i had a code number to give him which i had not given him as the item was not delivered the main item cost over £500 pounds and he says he would come back to deliver it later as he had forgotten it this time but when i went to the amazon website it said that he had attempted to deliver the parcel but nobody was in to take it but the funny thing is how could he have delivered the leads for the computer at the same time as the computer if there was nobody in to take the the main item being the computer that e the first time did not even attempt to look for in the back of his van the driver was rude not polite and couldn't care the damn just said to me i will be back before 9 i will have to go back to pick it up but he never had come back and on the main website it says that nobody was in to take the order at the delivery was made at 2:50 but nobody was there to answer the door funny then i will give me two of the items the second time he came 5 minutes later so why couldn't he have given me the computer out of the back of the van at the same time wonder if he has stolen it as this has happened before with expensive item goods from amazon this is making me think about never buying from amazon again because it is a lot of money that i have spent on the item"", ""well i've order package off amazon one says it was delivered but was in front of my house or steps where i live at said package was delivered not there the same hours later had another package was supposed to be delivered to but driver he handed it to a neighbor now wouldn't that i didn't receive my package because the drivers drop off a different person house or gave product to someone instead of dropping off at my door step at my house i will longer be ordering packages from amazon anymore can't even get address right to deliver my package is right they hire who ever to can to drive for them its scam of amazon there robbing people out of there package i just people should know about amazon if need order anything go e-bay or overstock .com to buy stuff but don't use amazon prime or regular amazon packages never get to you drivers lie to customers saying they put there package there when it's not there or delivery it to some else instead there ripping people off or there sitting inside the amazon truck they drive won't get out to delivery the package and say they delivered it which they didnt get out of the truck or vehicle they even pulled up in and lick on there i pad i phone smart phone and say package is delivered when the thurth is it never got the person just think you all should know that order off other people not just not amazon they lie and steal there thieves of people money and packages my name david roedts please put your reviews on here so other know what is going on before they order any packages from amazon at all thanks hope this was helpful to all on this site""]"
1,896,1_account_my_card_email,"['account', 'my', 'card', 'email', 'bank', 'me', 'to', 'phone', 'number', 'and']","['policies are built for entrapment. after fraudulent activity occurred right before christmas whoever got in my account changed my password. it became a password war of sorts with the scammer. got totally locked out of my account. i called customer service multiple times for help & was given the runaround. i once was told i could answer some security questions over the phone but if i got even 1 answer wrong would have to start all over with a different customer service person. these questions were not typical security questions. they asked stuff like when did i join amazon (have had the account for years so i couldn\'t answer correctly), they asked for expiration dates & last 4 digits of 2 credit cards i had stored as payment methods, and what was the last thing ordered, etc. stuff of that nature. wasted time on that since they don\'t tell you until the end of the questions whether or not you missed any or not. nobody could help me get back into my account. the last call i tried to just cancel my account & was told they couldn\'t do it over the phone & that i could login to my account & do it. they wanted me to log in to an account that they couldn\'t help me get back into & offered no additional help.now they\'re sending emails telling me that my ""last order has been cancelled and i need to login to get my account straight"". i haven\'t ordered anything & i think have had all the cards that were on there cancelled. seems to be set up to try to keep me paying for a service i can\'t even use bc if their inability or desire to actually help. still stuck. i do not recommend to anybody. not even my worse enemy. when they ""removed"" the fraudulent transactions from my account, my bank told me it was never reversed on their end & that i needed to call amazon again. so i ended up having to eat the fraudulent charges. i\'m still trying to recover. in the end, i\'m confident they\'ll learn about karma & they will get theirs. i know i can\'t be the only one they\'ve done like this.', 'i have used amazon from time to time for delivery of books and other minor stuff, as well as access to their prime video.september 8 i all of a sudden got an email from them stating that they ""after a review of your details"" had decided to close my account. they also wrote that i could not reply to the email, and that they might not reply to further email about this.i received no information about this, the full text is the following:""hello,after a review of your details, we have determined it is necessary to close your amazon.de account. any pending orders have been canceled.we may not reply to further emails about this issue.""that made me worried that somehow someone had gained unauthorized access to my account and perhaps even my payment information, but the email contained no information. i could not reach support since you have to be logged in to be able to do that.after much search i found their twitter support, wrote them, and they showed me a way to find a telephone number by stating that the password did not work on the website. i called, but the person on the other end could not help, but she took my details and my number, passed the information to account handling department and promised me that they would call me back within 24 hours. they never did. i never heard from them again.about a week before they closed my account, they charged me for a month\'s amazon prime. so i have paid for the better part of a month that i cannot use because they have closed my account without giving me a reason. i still do not know why, and my credentials could still be vulnerable without them telling me.i cannot believe that they can legally charge me for a service just to close my account for no apparent reason, and not at the minimum provide a refund.', 'i am having a horrible experience with amazon currently. over the last three days it has been nothing but a nightmare on the phone with them. first my amazon account was canceled without my permission or my knowledge. when i called to inquire about this because i have shipped packages which are to be delivered to my home they pretty much told me since my account was canceled there’s nothing they can do to help me and that i would need to open a new account. keep in mind i never canceled to begin with. they will not give me any information on my already purchased items and because i can’t check the order status i have no idea if i’m even going to receive “again my already purchased orders!! “ i did have one customer service representative by the name of carlos that explained things a little more clearly for me after speaking to three different supervisors are quite a few other customer service representatives. i ended up opening a new account with my new email address. which in return caused me to have to call customer service again to re-register all my amazon devices including my fire stick, tablet etc. which had me on the phone once again with customer service for sometime until i finally got a resolution by another supervisor by the name of jeremy who was also great helping me get these things back in order after the nightmare of customer service representative that could not help me. keep in mind i am an amazon prime customer so with my amazon a prime account being canceled right after i paid my amazon prime bill i’m sure you can understand why i am quite frustrated. and also having packages still not delivered to my home and having no idea where they are or if they will even be delivered! but because i was reassured that everything would be fine by supervisor jeremy i was starting to feel a little better about everything. moving forward because i’m starting to feel better about everything i begin to place another order on my new amazon prime account feeling confident that nothing else will happen. boy was i wrong. i proceeded to place my order to only receive an email not even five minutes after my order was placed stating that my new amazon prime account has been suspended for suspicious activity!!!????? at this point i have lost all faith. i called customer service and again got absolutely no answers! i was told that i need to wait 24 hours after filling out a form that they sent me via email. once again my children are not able to use their tablet or the fire stick or any other devices in my home for absolutely no reason! i cannot access my amazon account at all because it was suspended for absolutely no reason this is a brand new account and this is the first order that i’ve made on it after having a three day nightmare with being on the phone with terrible customer service, having packages delivered to my neighbors that should have been delivered to me. having my amazon account canceled without my knowledge, having to open a new amazon account, not knowing where my other packages are, being charge for my prime the day before my account is mysteriously canceled, and finally suspending my account for suspicious activity for absolutely no reason and then not giving me any answers as to why when i call! i am mind blown']"
2,630,2_text_found_review_not,"['text', 'found', 'review', 'not', '', '', '', '', '', '']","['review text not found', 'review text not found', 'review text not found']"
3,581,3_reviews_review_product_negative,"['reviews', 'review', 'product', 'negative', 'amazon', 'of', 'that', 'products', 'are', 'you']","['“we apologize but amazon has noticed some unusual reviewing activity on this account. as a result, all reviews submitted by this account have been removed and this account will no longer be able to contribute reviews and other content on amazon. if you would like to learn more, please see our community guidelines.”it’s interesting that with ever purchase we are asked to submit a review. i am new to trustpilot and wondered if amazon used them for their reviews. i’m guessing they do not. after years of buying products from amazon and writing to occasional review, the above quoted statement is what i get if i try to write a review. it’s been a while since i called their customer service about this because, honestly, i’ve given up. on the phone they are most helpful and say that they “can fix that!” well, nope. apparently, their computer has determined we are in cahoots with the vendors. a look at the purchase history would show us to be in cahoots with all of them it that’s the case!sometimes potential customers need to know that the part actually fits “a 1997 dodge” even though amazon’s computer said it doesn’t. sometimes negative reviews have no basis. i attribute a lot of them to, what i call, 3-percenters. they would be negative if you gave them the item. why do i still give them a 5-star rating? if i do buy a product that i need to return, the process is simple. the return window is plenty long so i can determine if the item works for me. also, they have a vast selection at any price you want to pay. i’ve never read a positive review that i didn’t agree with after buying and using that product. would i buy an item having a preponderance of negative or critical reviews? probably not, but i have and been perfectly happy with my decision. moving on, amazon has invested heavily in their business. because of their distribution network it is rare that it takes more than 3 days to receive an item. often it’s less than 2! yes, i like to buy locally, but when they don’t have the item in stock and it will be “a week to 10 days” for delivery…with a higher price, to boot…i’m sorry, i’m going with amazon. in my opinion, there is no online seller that can compete with them except for maybe walmart, though their vendors often add exorbitant shipping fees. so, back to why i wrote this, my only complaint with amazon is not being able to write reviews.', ""am having an interesting evening. without warning, i was banned from leaving product reviews on amazon. they accused me of receiving free goods and being paid to write reviews. what??? no one has ever paid me! nor given me free goods. (i wish!!)i actually believe they blocked me for leaving a negative review for a company that was scamming people (that happened to pay to be featured). i phoned them to review their decision, and they emailed me, (see below), saying i should email them which i did - and they sent me the same email again. then they said that i had possibly been hacked but refused to give me further details… (what?!!). was i hacked? i said i found it unlikely that someone would hack my account solely to leave reviews. what is the evidence??so, what i take from this is they only want positive reviews for some companies, and if you leave a negative one for one of their sponsored companies, they will ban you. no freedom of speech. everything being censored. buy, buy, buy, we don’t care about you, the customer…like what? i tried to resolve this and they totally refused to listen. here is their response amazon previously sent you an email explaining that we had detected unusual review and rating activity associated with this account, leading us to remove all of its reviews and ratings, and restricting it such that it is no longer able to contribute reviews, ratings, customer questions and answers, and other related community content. this account can no longer contribute content for the following reasons:-- elements of the account indicate a relationship with sellers, publishers, or other reviewers on the reviewed products.-- reviews and ratings were posted in exchange for compensation, such as gift cards, product refunds, review swaps, or free or discounted products.-- the account requested free or discounted products in exchange for reviews and ratings.-- the account was created for the primary purpose of writing reviews and ratings that violates our policies.-- an unauthorized party may have accessed this account to write reviews and ratings.as a result of your inquiry regarding this action, we reviewed this case and our decision thoroughly and have come to the same conclusion. we will not restore this account's ability to contribute with community content. we will not be answering further emails from you, nor discuss this matter further. your account will not be reinstated.like what?! is this customer service? they won’t tell me what they thing is wrong with the review…(if it was a review)…nor let me check and see if i was hacked and someone did use my account to make fake reviews. also everything they say they have banned me for is wrong! what the….? like why not just ask me to delete the one review that they didn’t like? why ban me?) i have always been 100% honest. what is ‘unusual activity?’ i have never sworn, been dishonest, never been paid, never had free goods, am a ‘normal customer that buys and pays for everything and leaves an honest review.’"", 'i always like to spend some time and efforts to write unbiased reviews on amazon (or other site, such as ebay, google...etc), because i want other customers to learn from my experiences with a product or company, good or bad. like many other customer i am sure, i also use the review on amazon to decide or not to buy a product, so i also feel that it\'s normal to do the same for others people.unfortunately, after spending time and efforts to write good (sometimes long) reviews about products purchased on the site, the review get sent back to me with the following error message from amazon: ""thank you for submitting a customer review on amazon. after carefully reviewing your submission, your review could not be posted to the website. while we appreciate your time and comments, reviews must adhere to the following guidelines *insert link to amazon review guidelines here*i always try to follow all their guideline to the letter when posting a product review, so i am very surprised to get this kind of answer from amazon. after sending an email to them to check about what was wrong with my reviews, here comes the surprising response from them: ""we removed your review because we detected unusual review behavior on this product and are not accepting reviews of it at this time. we place limits on reviews to preserve trust in customer reviews."" imagine my surprise when reading this ! and they often do that too !!! that wasn\'t the first time a legit unbiased review got rejected, while on the other hand, the product page display obviously fake reviews or short un-useful one like ""i like the color"". amazon, please explain how this kind of behavior blocking legit reviews from verified purchase buyer is going to ""preserve trust in customer reviews"" ????...so yup, as you can see amazon select the reviews they want to see posted, and block the legit ones (especially if they are negative on one of their own product page btw). you have been warned ! do not believe all review you read on amazon !! and if you feel like writing a review for something you bought on there, good luck to see it posted either !!']"
4,377,4_prime_day_shipping_delivery,"['prime', 'day', 'shipping', 'delivery', 'days', 'next', 'pay', 'for', 'member', 'paying']","['i have been a prime member for many years. their delivery is getting very bad. every time i order using prime and the day of delivery it is move to a later date. i pay for prime i should receive it on the date it states it will arrive !', ""wow, i ordered an item and it was listed as a prime item. i am (was until today) a prime member so it should have been in two days. well ordered it on the 28 won't arrive till the 3rd. i will be returning it. it seems that free shipping is only if they feel like it so it seems. but if you buy something with out a prime member ship they tell you that you could get free two day shipping if you have a prime account and it is a prime item. if they have some kind of trouble they need to make it right with you, nope nothing. the item should also have the prime removed from it if they can not deliver it in two days. oh well i will buy my stuff some ware else, even if it cost more."", 'amazon are not the company they use to be. ordered 2 items prime next day delivery and still waiting for the items to be delivered 2 days later. why lie to your customers if you can’t deliver the goods on time ? i have now cancelled my prime membership']"
5,331,5_books_book_kindle_author,"['books', 'book', 'kindle', 'author', 'of', 'from', 'the', 'is', 'ordered', 'and']","[""amazon is my go-to spot for all of my books, especially since i use my kindle quite often, but what i really love about it is i always find what i am looking for, sometimes for only .01!! can't beat that price, lol. and there are a lot of free books for kindle, i think of amazon as my online book store, even though there is plenty of other things there!"", 'i order quite a lot from amazon because they have everything available and the prices are pretty good as well. i’m an avid reader so i order a lot of books. textbooks, spiritual books, baby books, you name it. i always buy brand new & directly from amazon. i never buy anything from third party sellers because i had multiple bad experiences with those before (mainly false advertisement regarding the book’s condition). anyway, i noticed that half the time the brand new books that get sold & shipped by amazon itself, come damaged, beat up or worn. there was several times when i wanted to gift a book to someone and i couldn’t because they looked used. amazon, store and take care of your books and package them carefully! if i pay $40 for a brand new copy then i expect it to look brand new. if i wanted a beat up one, i would have gone to a thrift store.', 'sick to death of receiving damaged books. despite starting in books its amazing the poor quality of the books received from amazon. it is rare that a book that is purchased is kept cause the all seem to have been thrown around or dirty. no point trying in there anymore, much better to go to book specific websites.']"
6,327,6_delivery_date_day_order,"['delivery', 'date', 'day', 'order', 'on', 'it', 'be', 'delivered', 'next', 'ordered']","[""i am waiting for an order that was supposed to be delivered on monday. no show. i got an update it was delayed and would be delivered on tuesday or wednesday, and to call on thursday if i hadn't received it and wanted a refund. it is now thursday and an update says i will receive it tomorrow or saturday and to call if i don't receive it and want a refund. seriously? i checked the tracking and the seller shipped it immediately. it has been delayed in shipping twice. as of 3:30 this morning, it was in a facility about 20 miles away, (it was only 75 miles away yesterday morning,) yet it doesn't show out for delivery. why not? i had other sites where i could order this, and chose amazon because of the delivery date. they lied to me. if i cancel this, i will have to start all over again and wait longer. the seller fulfilled their commitment, and this is all on amazon. i am not impressed, and am done with them."", ""while amazon's prices are normally way better than other companies selling the same thing their delivery system is flawed endlessly. they promise 1-day or 2-day deliveries and 7 out of 10 times they are never delivered in the promised time frame. what they do not tell you is that they have a clause that is not clearly posted anywhere for you to easily say. it says that the delivery time begins when the item is actually shipped. so, if you order an item on a saturday and it says it will be delivered on monday by 10 p.m. this estimate will only be accurate if the item was picked up by the carrier on saturday. now shipping delays happen and often they do happen as a result of the carrier so that is completely out of amazon's hands but change the system to more accurately reflect these delays.quit making promises that you knowingly cannot keep. additionally, if an item is not able to be delivered because it is damaged in the transit process then include that reason in the email when you cancel the order. this actually just happened to me. in fact, it is the second time in a month that i ordered an item that i never got.previously i ordered an item that the third-party vendor said was in stock but were unable to fulfill the order because they banked on the parts being in stock when they were going to be shipped. this didn't happen and they simply refunded my money with no explanation as to why.in both cases i had to call the vendor and amazon to get details on why. amazon needs to hold themselves and their vendors accountable for the accuracy of their descriptions. from shipping lead times to availability of items.while ordering online is convenient and often times less expensive it is beginning to show the weaknesses that are apparent. at least when you go to a brick-and-mortar store you know whether they have the item and if not, you move on to find it elsewhere. there is no expectation that you are being told it is in stock when it really isn't. their inventory is what it is. we are using online services such as amazon with the expectation that they are going to be upfront with regards to inventory levels and shipping estimates. not to be told that there are 15 items in stock, or it is a 2-day delivery and then not be able to fulfill these promises more often than not. quit trying to look spectacular only to look lackluster most of the time. prices are not everything when you cannot get the items anyways. i gave amazon 2 stars only because of pricing. however, if the issues continue my 15-year history with them is gone. i will gladly pay more and be part of their solution to the problem by seeing them go the way of k-mart and sears."", ""it used to be that amazon would say, available to ship in 1 day fulfilled by amazon est. shipping 2-3 days , was correct but recently they have changed their system. no longer when you order something even if 100 items are in stock will you get it as it suggests or promises even if you pay extra for shipping. amazon changed its algorithms to get more business, the joe who is up late and is ordering. unfortunately that joe expects his products in a timely fashion, not a week, two weeks, one month, two months or a year later. he could get it locally or with another online vendor with less the hassle. but now this is the experience of amazon this product seems maybe good but i have been waiting on a new tire for over a month now. but it to be used with the tire replacement i ordered over a month ago.the first tire fulfilled by amazon said available to ship in 1-2 days, 25 were available at the time, i took a screenshot, it also said shipping by the end of the week, i ordered on a monday morning. wednesday nothing had changed, not even dispatched, so i called customer service, was told it would be shipping in a couple days not to worry, at that time 20 were still available. although wednesday i still could re-order and get by the weekend. but amazon assured me it would come. friday still not dispatched and a call revealed that they did not know what the problem was, 8 were still available and it although now it was friday, it would still be here monday if ordered again, amazon sent request to fulfillment (since it is fulfilled by amazon) sunday nothing changed, this customer service call revealed it was out of stock and not know when it would be back in stock i could wait or order another tire.monday i got an email late that said it would not be in stock until the end of july, it was the first week of june now. so i called and asked whywhy, when i order something does not the computer reserved the 1 of the 25 available to me ? and then show 24 available to the next customer, after all i wrote software for best buy and other online sites, that how it works, i also trained amazon customer service, walmart, starbucks etc. the only way possible was that amazon has changed their system, not to take away from the available for the order i paid for and placed. so they can get more orders, maybe it works for them, but in germany thousands of people are leaving amazon for these reasons.now i decided monday to order a replacement, and with this replacement the same issue, still it is not shipped out or even dispatched even when i call everyday they say it is going out today, it was delayed 2 weeks because out of the 15 available at time of order, no customer is a priority anymore.after a week i noticed the status of the first tire i ordered was changed to in stock available to ship 1-2 days, fulfilled by amazon est. shipping in 2-3 days arriving. i could cancel this tire and reorder the original that was cancelled or wait because i think if i did that i would be waiting this game even longerand for this order i also had similar problems, although fulfillment was not so long, the only way to review amazon is this way. i talked with my colleagues the university here there are 40,000 of them at this online event we were discussing marketing and i brought up amazon, out of the 10,000 attending, they all had similar problems are are also stopping orders with amazon.sure i wait a few more days, but i already found it less expensive online at another vendor and can have it by the weekend, will decide what to do in the next days cancel this and go with another vendor, but i know i will not order anything with amazon for a while, maybe never again, and i spend thousands every year with them. i think it's time everyone reconsider where they purchase from. i will post this all over social media also, but i think amazon will not change they want more orders even if they lose customers, they are too big and they don't care about customers, just like all those influencers that used to be amazon associates and gave them almost free marketing, they screwed them first, now they screw the customers.""]"
7,287,7_english_customer_speak_service,"['english', 'customer', 'speak', 'service', 'understand', 'you', 'call', 'to', 'is', 'chat']","['i just spent an hour with amazon customer service to correct a billing problem they created. i still dont know why it happened and the customer service rep could barely speak english. it is silly that they dont have people that can speak english and cant answer your questions and would not transfer me to a supervisor.un acceptable', 'i am really tired of calling from america and not being able to get an agent from the usa. i do not understand the people from the philippines or india and they talk soooo fast. no matter how many times you ask them to slow down. also they do not know what they are doing often times. i spoke to 6 or seven people this morning and had to go over my account every time. two of them hung up on me and one did not know what he was doing and was very rude. also a woman hung up on me because the rep before her was suppose to validate my account so i did not have to do it for the 7th time. i am calling from the usa, why can\'t i get a rep. from the usa?! they tell me they are there 24 hours , but when you ask for them you are told,"" they are not available.""2 hours i am trying to get something fixed and 3 times i was told to call back in 10 minutes. twice hung up on. twice put on silent hold. most of the time the reception and accents were so poor i could not understand them. they really need to have usa reps there for the people in the usa. this is terrible customer service and such a waste of time.', 'if i could give zero stars, i would. amazon has dipped so far below satisfaction in their customer service department. no one seems to speak or understand english and it is so frustrating. it has caused me so much stress. it recently took me chatting with 8 different reps including 3 ""supervisors"" ..all foreigners to finally get my very simple issue resolved. 4 of those reps straight up lied to me. the whole area of customer service hell is owned by amazon. and even though this issue has been brought up by thousands, if not millions of their dedicated customers, they still refuse to change anything. it is sheer hell ever trying to contact anyone here who knows what they\'re doing. hire people from the us who speak and understand english, amazon...or i will take my business elsewhere !!']"
8,228,8_star_stars_give_zero,"['star', 'stars', 'give', 'zero', 'could', 'would', 'if', 'one', 'rating', 'they']","['i have to give one star because there is no option for a 0 star...amazon is good when everything goes well with the delivery and return but when you really have a problem and need to contact customer service for help then you realized they do not take care of their clients and there is no customer service. amazon it’s a business like others and of course they want to make money but they forget the most important thing of their business “their loyal and returning customers” it only takes one bad experience with customer service to realize that we are just a number and they only care about making money but not making customer satisfaction through out the deliver or return process. amazon is good only when you order and you get your right things, on time or when everything goes well with your return. customer care in amazon really sucks! watch out!', ""i wish i could give amazon zero stars. i paid for 2 day shipping and and over a week later my order still hasn't been shipped. there's no way to contact amazon to find out what the problem is. there's no customer service."", 'if i could give it 0 stars, i would!']"
